"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Victor Marte","Cardinals","0","0","4.27","0","1","0","1.0","1","0","0","1","0","1.47","7.59","4.27","4.36","0.0","0.0","5158"
"Brandon Sisk","","0","0","4.12","0","1","0","1.0","1","0","0","1","0","1.37","8.13","3.78","4.36","0.0","0.1","sa458869"
"Jhan Marinez","Brewers","1","2","4.36","0","30","0","30.0","30","15","4","28","14","1.45","8.38","4.18","4.36","0.1","0.0","5830"
"Stephen Fife","Dodgers","0","0","4.25","0","0","0","1.0","1","0","0","1","0","1.38","6.69","3.06","4.36","0.0","0.0","8077"
"D.J. Baxendale","","0","0","4.34","0","1","0","1.0","1","0","0","1","0","1.33","6.95","2.64","4.36","0.0","0.0","sa577014"
"Louis Distasio","","0","0","4.24","0","1","0","1.0","1","0","0","1","0","1.39","8.01","3.81","4.36","0.0","0.0","sa876085"
"Alexi Ogando","Braves","0","0","4.29","0","1","0","1.0","1","0","0","1","0","1.45","8.38","4.38","4.36","0.0","0.0","10261"
"J.B. Wendelken","Athletics","1","1","4.34","0","13","0","13.0","13","6","2","13","6","1.37","8.59","3.77","4.36","0.0","0.0","14506"
"Jesse Biddle","","0","0","4.16","0","1","0","1.0","1","0","0","1","0","1.45","8.05","4.36","4.36","0.0","0.0","sa548186"
"Jean Machi","Red Sox","0","0","4.38","0","1","0","1.0","1","0","0","1","0","1.40","7.03","3.29","4.36","0.0","0.0","3220"
"Joan Gregorio","","0","0","4.19","0","0","0","1.0","1","0","0","1","0","1.36","8.25","4.03","4.37","0.0","0.0","sa547815"
"Thomas Lee","","0","0","4.37","0","1","0","1.0","1","0","0","1","0","1.36","6.09","2.41","4.37","0.0","0.0","sa659442"
"Adam Kolarek","","0","0","3.92","0","1","0","1.0","1","0","0","1","1","1.46","7.60","4.61","4.37","0.0","0.1","sa549067"
"Elvis Araujo","Phillies","0","0","4.12","0","1","0","1.0","1","0","0","1","1","1.44","8.79","4.61","4.37","0.0","0.1","12854"
"German Marquez","Rockies","4","4","4.51","11","11","0","64.0","67","32","9","55","20","1.35","7.73","2.86","4.37","0.6","0.5","15038"
"Jared Lakind","","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.47","7.69","4.35","4.37","0.0","0.0","sa549657"
"Jeff Manship","Indians","0","0","4.25","0","1","0","1.0","1","0","0","1","0","1.42","7.52","3.83","4.37","0.0","0.0","6865"
"Aaron Laffey","Rockies","0","0","4.40","0","1","0","1.0","1","0","0","1","0","1.43","6.63","3.02","4.37","0.0","0.0","6248"
"Tim Crabbe","","0","0","4.35","0","1","0","1.0","1","0","0","1","0","1.40","7.73","3.69","4.37","0.0","0.0","sa501702"
"Jon Niese","Mets","0","0","4.36","0","0","0","1.0","1","0","0","1","0","1.42","6.55","3.03","4.37","0.0","0.0","4424"
"John Fasola","","0","0","4.33","0","1","0","1.0","1","0","0","1","0","1.38","7.98","3.51","4.37","0.0","0.0","sa550022"
"Christopher Rearick","Padres","0","0","4.14","0","1","0","1.0","1","0","0","1","0","1.44","7.96","4.26","4.37","0.0","0.1","11050"
"J.P. Howell","Blue Jays","2","2","4.23","0","35","0","35.0","36","17","4","27","15","1.44","7.00","3.76","4.37","0.0","0.1","8245"
"Gabe Speier","","0","0","4.34","0","1","0","1.0","1","0","0","1","0","1.44","7.07","3.71","4.37","0.0","0.0","sa738213"
"John Ely","Dodgers","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.39","7.16","3.44","4.37","0.0","0.0","6132"
"Tommy Layne","Yankees","2","2","4.07","0","40","0","40.0","39","18","4","35","19","1.45","7.89","4.31","4.38","0.1","0.1","7501"
"Adrian Salcedo","","0","0","4.37","0","1","0","1.0","1","0","0","1","0","1.44","7.32","3.77","4.38","0.0","0.0","sa504003"
"Marco Gonzales","Cardinals","0","0","4.24","0","0","0","1.0","1","0","0","1","0","1.37","7.24","3.22","4.38","0.0","0.0","15467"
"Jairo Heredia","","0","0","4.26","0","0","0","1.0","1","0","0","1","0","1.35","7.42","3.14","4.38","0.0","0.0","sa392471"
"Trey Nielsen","","0","0","4.35","0","1","0","1.0","1","0","0","1","0","1.43","6.48","3.27","4.38","0.0","0.0","sa550155"
"Ervin Santana","Twins","10","11","4.51","28","28","0","178.0","184","89","25","147","57","1.36","7.45","2.91","4.38","2.0","1.7","3200"
"Rafael Martin","Nationals","1","1","4.21","0","22","0","22.0","20","10","3","22","9","1.33","8.85","3.75","4.38","0.0","0.0","10258"
"Kyle Bartsch","","0","0","4.18","0","1","0","1.0","1","0","0","1","0","1.43","7.11","3.74","4.38","0.0","0.0","sa737840"
"Chris Perez","Dodgers","0","0","4.30","0","1","0","1.0","1","0","0","1","0","1.38","8.10","3.73","4.38","0.0","0.0","5213"
"Jonathan Sanchez","Pirates","0","0","4.40","0","0","0","1.0","1","0","0","1","0","1.40","7.43","3.36","4.38","0.0","0.0","7507"
"J.J. Hoover","Diamondbacks","1","1","4.35","0","26","0","26.0","24","13","4","26","11","1.36","8.97","3.91","4.38","0.0","0.1","9037"
"Bobby Wahl","","0","0","4.30","0","9","0","9.0","8","4","1","8","5","1.46","8.65","4.69","4.38","0.0","0.0","sa550093"
"Jeanmar Gomez","Phillies","2","3","4.30","0","49","3","49.0","52","23","6","37","17","1.41","6.74","3.15","4.38","0.0","0.0","9033"
"Chris Bassitt","Athletics","0","1","4.46","1","1","0","8.0","8","4","1","7","3","1.40","7.27","3.40","4.38","0.1","0.1","12304"
"Eric Alonzo","","0","0","4.15","0","1","0","1.0","1","0","0","1","0","1.36","6.91","3.23","4.38","0.0","0.1","sa829845"
"Nick Maronde","Angels","0","0","4.03","0","1","0","1.0","1","0","0","1","0","1.36","7.99","3.88","4.38","0.0","0.1","12530"
"Matt Montgomery","","0","0","4.40","0","0","0","1.0","1","0","0","1","0","1.42","6.41","3.25","4.39","0.0","0.0","sa501634"
"Tyler Sturdevant","Rays","0","0","4.19","0","1","0","1.0","1","0","0","1","0","1.36","7.54","3.46","4.39","0.0","0.0","6780"
"Travis Ballew","","0","0","4.20","0","1","0","1.0","1","0","0","1","0","1.49","6.96","4.39","4.39","0.0","0.0","sa658550"
"Josh Taylor","","0","0","4.27","0","0","0","1.0","1","0","0","1","0","1.45","6.82","3.74","4.39","0.0","0.0","sa842224"
"Kevin Vance","","0","0","4.36","0","1","0","1.0","1","0","0","1","0","1.41","8.09","3.88","4.39","0.0","0.0","sa577745"
"Logan Taylor","","0","0","4.32","0","1","0","1.0","1","0","0","1","0","1.47","7.61","4.19","4.39","0.0","0.0","sa658168"
"Taylor Williams","","0","0","4.50","0","0","0","1.0","1","0","0","1","0","1.38","7.89","3.24","4.39","0.0","0.0","sa737785"
"Kyuji Fujikawa","Rangers","0","0","4.31","0","1","0","1.0","1","0","0","1","0","1.41","8.52","4.08","4.39","0.0","0.0","14443"
