"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ty France","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".276",".306",".581",".259","","60","0.0","0.0","","0.0","0.0","0.0","sa876140"
"David Thompson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".261",".333",".594",".259","","60","0.0","0.0","","0.0","0.0","0.0","sa659290"
"Wade Gaynor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".256",".340",".596",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa501211"
"Mario Valenzuela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".270",".317",".587",".258","","-100","0.0","0.0","","-0.1","0.0","","sa206418"
"Emerson Landoni","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".280",".305",".585",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa455907"
"Jesus Valenzuela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".277",".307",".584",".258","","-100","0.0","0.0","","0.0","0.0","","sa592343"
"Jonathan Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".277",".310",".587",".258","","-100","0.0","0.0","","-0.1","0.0","","4182"
"Luis Fonseca","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".261",".334",".595",".258","","-100","0.0","0.0","","-0.1","0.0","","sa592342"
"Charlie Culberson","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".265",".330",".596",".258","","61","0.0","0.0","","0.0","0.0","0.0","3298"
"Jason Martinson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".263",".325",".588",".258","","53","0.0","0.0","","-0.1","0.0","0.0","sa548330"
"Jeff Mathis","Diamondbacks","39","152","141","30","6","1","3","13","14","9","43","1","1","0","",".210",".259",".337",".596",".258","","51","-0.1","1.1","","-9.3","3.6","-0.1","3448"
"Dustin Houle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".277",".304",".581",".258","","53","0.0","0.0","","-0.1","0.0","0.0","sa598106"
"Yancarlo Angulo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".274",".311",".585",".258","","-100","0.0","0.0","","-0.1","0.0","","sa329105"
"Alan Espinoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".257",".339",".595",".258","","-100","0.0","0.0","","0.0","0.0","","sa543678"
"Jorge Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".282",".299",".581",".258","","57","0.0","0.0","","-0.1","0.0","0.0","sa550275"
"Kelvin Gutierrez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".274",".314",".588",".258","","55","0.0","0.0","","-0.1","0.0","0.0","sa736855"
"Zach Shank","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".277",".308",".585",".258","","61","0.0","0.0","","0.0","0.0","0.0","sa738403"
"Francisco Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".280",".302",".582",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa505229"
"Austin Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".276",".304",".580",".258","","55","0.0","0.0","","-0.1","0.0","0.0","sa599216"
"Chad De La Guerra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".279",".305",".584",".258","","52","0.0","0.0","","-0.1","0.0","0.0","sa875729"
"Juniel Querecuto","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".281",".307",".588",".258","","60","0.0","0.0","","0.0","0.0","0.0","12140"
"Kyle Petty","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".271",".314",".584",".258","","61","0.0","0.0","","0.0","0.0","0.0","sa738266"
"Robby Price","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".282",".297",".579",".258","","60","0.0","0.0","","0.0","0.0","0.0","sa547109"
"Anthony Giansanti","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".270",".318",".588",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa503822"
"Nelson Ward","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".281",".297",".578",".258","","61","0.0","0.0","","0.0","0.0","0.0","sa829034"
"A.J. Jimenez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".267",".322",".589",".258","","52","0.0","0.0","","-0.1","0.0","0.0","sa454887"
"Casey Turgeon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".281",".295",".576",".258","","57","0.0","0.0","","-0.1","0.0","0.0","sa599227"
"Elliott Blair","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".275",".305",".581",".258","","60","0.0","0.0","","-0.1","0.0","0.0","sa599407"
"Ross Kivett","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".274",".309",".583",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa737860"
"Mycal Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".281",".295",".576",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa501228"
"Matt Dean","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".262",".329",".591",".258","","55","0.0","0.0","","-0.1","0.0","0.0","sa599049"
"Jordan Weems","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".277",".303",".580",".258","","52","0.0","0.0","","-0.1","0.0","0.0","sa597862"
"Ricky Oropesa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".268",".317",".585",".258","","60","0.0","0.0","","0.0","0.0","0.0","sa526884"
"Michael Snyder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".259",".330",".589",".258","","61","0.0","0.0","","0.0","0.0","0.0","sa658566"
"Michael Chavis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".256",".335",".592",".258","","51","0.0","0.0","","-0.1","0.0","0.0","sa828673"
"Bobby Wilson","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".264",".324",".588",".258","","59","0.0","0.0","","0.0","0.0","0.0","6564"
"Jonathan Mota","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".269",".320",".589",".258","","56","0.0","0.0","","-0.1","0.0","0.0","sa291809"
"Cory Vaughn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".262",".321",".583",".257","","59","0.0","0.0","","0.0","0.0","0.0","sa526822"
"Matt Thaiss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".267",".319",".586",".257","","61","0.0","0.0","","0.0","0.0","0.0","sa738522"
"Matt Newman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".261",".329",".590",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa577013"
"Cristhian Presichi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".273",".313",".586",".257","","-100","0.0","0.0","","-0.1","0.0","","sa184892"
"Elliot Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".294",".275",".569",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa390666"
"John Wooten","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".260",".330",".590",".257","","54","0.0","0.0","","-0.1","0.0","0.0","sa501993"
"Khayyan Norfork","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".279",".302",".580",".257","","54","0.0","0.0","","-0.1","0.0","0.0","sa546794"
"Wade Wass","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".268",".314",".582",".257","","61","0.0","0.0","","0.0","0.0","0.0","sa658231"
"Jake DePew","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".266",".319",".585",".257","","51","0.0","0.0","","-0.1","0.0","0.0","sa548454"
"Arturo Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".262",".329",".590",".257","","-100","0.0","0.0","","-0.1","0.0","","sa688986"
"Andy Simunic","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".284",".293",".577",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa455409"
"Courtney Hawkins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".246",".348",".594",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa657904"
"Keon Barnum","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".260",".329",".589",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa657864"
"Oscar Mercado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".274",".309",".583",".257","","56","0.0","0.0","","-0.1","0.0","0.0","sa737612"
"Chris DeVito","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".245",".353",".598",".257","","54","0.0","0.0","","-0.1","0.0","0.0","sa918117"
"Luis La O","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".266",".323",".589",".257","","52","0.0","0.0","","-0.1","0.0","0.0","sa863716"
"Gustavo Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".282",".298",".580",".257","","59","0.0","0.0","","-0.1","0.0","0.0","sa446859"
"Beau Amaral","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".273",".308",".581",".257","","53","0.0","0.0","","-0.1","0.0","0.0","sa503642"
"Ben Turner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".278",".302",".580",".257","","60","0.0","0.0","","0.0","0.0","0.0","sa658602"
"Edwin Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".278",".304",".582",".257","","52","0.0","0.0","","-0.1","0.0","0.0","sa499640"
"Rodolfo Amador","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".262",".336",".598",".257","","-100","0.0","0.0","","-0.1","0.0","","sa652484"
"Ryan Gebhardt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".276",".307",".583",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa738165"
"Cael Brockmeyer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".264",".325",".589",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa708438"
"Pete Kozma","Rangers","10","39","35","8","2","0","0","4","3","3","8","0","1","0","",".218",".280",".297",".576",".257","","52","0.0","-0.1","","-2.2","0.3","-0.1","2539"
"Asael Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".259",".331",".591",".257","","-100","0.0","0.0","","-0.1","0.0","","sa868927"
"Gilbert Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".279",".292",".571",".257","","59","0.0","0.0","","-0.1","0.0","0.0","sa506916"
"Luis Juarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".268",".316",".585",".257","","-100","0.0","0.0","","-0.1","0.0","","sa509384"
"Ryan Mountcastle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".260",".331",".592",".257","","54","0.0","0.0","","-0.1","0.0","0.0","sa874734"
"Ray Chang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".282",".295",".578",".257","","53","0.0","0.0","","-0.1","0.0","0.0","sa295642"
"Vaughn Bryan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".272",".309",".581",".257","","56","0.0","0.0","","-0.1","0.0","0.0","sa738672"
"Joey DeMichele","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".268",".315",".584",".257","","55","0.0","0.0","","-0.1","0.0","0.0","sa621612"
"Dustin Coleman","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".267",".318",".585",".257","","53","0.0","0.0","","-0.1","0.0","0.0","8979"
"Parker Berberet","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".264",".320",".584",".257","","52","0.0","0.0","","-0.1","0.0","0.0","sa546748"
"Daniel Johnson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".251",".341",".592",".256","","54","0.0","0.0","","-0.1","0.0","0.0","sa918018"
"Cameron Kneeland","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".266",".315",".582",".256","","53","0.0","0.0","","-0.1","0.0","0.0","sa577740"
"Cesar Suarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".263",".325",".588",".256","","-100","0.0","0.0","","-0.1","0.0","","sa244094"
"Wes Darvill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".275",".304",".579",".256","","55","0.0","0.0","","-0.1","0.0","0.0","sa501490"
"Diego Madero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".272",".312",".584",".256","","-100","0.0","0.0","","-0.1","0.0","","sa651307"
"Gilberto Mejia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".278",".301",".579",".256","","-100","0.0","0.0","","-0.1","0.0","","sa201453"
"Ethan Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".273",".304",".577",".256","","55","0.0","0.0","","-0.1","0.0","0.0","sa549726"
"Roemon Fields","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".274",".306",".580",".256","","54","0.0","0.0","","-0.1","0.0","0.0","sa829879"
"Mott Hyde","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".277",".300",".578",".256","","58","0.0","0.0","","-0.1","0.0","0.0","sa621678"
"Luis Cruz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".267",".316",".583",".256","","56","0.0","0.0","","-0.1","0.0","0.0","sa597025"
"Luis Mauricio Suarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".277",".306",".583",".256","","-100","0.0","0.0","","-0.1","0.0","","sa508488"
"Victor Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".258",".330",".588",".256","","-100","0.0","0.0","","-0.1","0.0","","sa722315"
"Johnny Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".275",".303",".578",".256","","51","0.0","0.0","","-0.1","0.0","0.0","sa738287"
"Brandon Miller","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".252",".336",".588",".256","","54","0.0","0.0","","-0.1","0.0","0.0","sa550323"
"Tyson Gillies","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".262",".322",".584",".256","","58","0.0","0.0","","-0.1","0.0","0.0","sa328244"
"Chris Carlson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".271",".307",".578",".256","","54","0.0","0.0","","-0.1","0.0","0.0","sa658934"
"Ryan Casteel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".263",".321",".584",".256","","59","0.0","0.0","","0.0","0.0","0.0","sa549286"
"Marty Herum","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".265",".325",".589",".256","","49","0.0","0.0","","-0.1","0.0","0.0","sa745229"
"Cody Grice","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".263",".319",".582",".256","","55","0.0","0.0","","-0.1","0.0","0.0","sa598564"
"Dian Toscano","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".273",".302",".575",".256","","54","0.0","0.0","","-0.1","0.0","0.0","17199"
"Dickie Joe Thon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".265",".317",".582",".256","","55","0.0","0.0","","-0.1","0.0","0.0","sa548351"
"Rick Hague","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".270",".313",".583",".256","","53","0.0","0.0","","-0.1","0.0","0.0","sa548193"
"Brian Cavazos-Galvez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".256",".333",".589",".256","","59","0.0","0.0","","-0.1","0.0","0.0","sa501665"
"Willie Bloomquist","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".274",".307",".582",".255","","59","0.0","0.0","","-0.1","0.0","0.0","1066"
"Jeff McNeil","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".274",".305",".579",".255","","58","0.0","0.0","","-0.1","0.0","0.0","sa709024"
"Jimmy Swift","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".264",".321",".586",".255","","59","0.0","0.0","","0.0","0.0","0.0","sa547025"
"Wilfredo Gimenez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".266",".318",".584",".255","","55","0.0","0.0","","-0.1","0.0","0.0","sa504051"
"Carlos Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".284",".285",".569",".255","","-100","0.0","0.0","","-0.1","0.0","","sa509271"
"Trae Santos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".258",".326",".584",".255","","58","0.0","0.0","","-0.1","0.0","0.0","sa738161"
"Gunnar Heidt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".265",".316",".581",".255","","53","0.0","0.0","","-0.1","0.0","0.0","sa827195"
"Joe Maloney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".259",".324",".584",".255","","53","0.0","0.0","","-0.1","0.0","0.0","sa598092"
"Shane Opitz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".272",".308",".580",".255","","53","0.0","0.0","","-0.1","0.0","0.0","sa549070"
"Brett Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".263",".315",".578",".255","","54","0.0","0.0","","-0.1","0.0","0.0","sa597795"
"Rolando Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".273",".304",".577",".255","","59","0.0","0.0","","0.0","0.0","0.0","sa455176"
"Angelo Songco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".254",".331",".585",".255","","59","0.0","0.0","","-0.1","0.0","0.0","sa501270"
"Santiago Nessy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".265",".314",".579",".255","","54","0.0","0.0","","-0.1","0.0","0.0","sa547792"
"Kyle Knudson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".271",".306",".577",".255","","53","0.0","0.0","","-0.1","0.0","0.0","sa546859"
"Mitch Delfino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".273",".304",".577",".255","","59","0.0","0.0","","-0.1","0.0","0.0","sa579278"
"Jonathan Diaz","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".289",".269",".558",".255","","53","0.0","0.0","","-0.1","0.0","0.0","4142"
"Chadd Krist","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".264",".314",".578",".255","","55","0.0","0.0","","-0.1","0.0","0.0","sa579540"
"Michael Pritchard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".282",".287",".569",".255","","55","0.0","0.0","","-0.1","0.0","0.0","sa830215"
"Jhonatan Solano","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".272",".311",".583",".255","","55","0.0","0.0","","-0.1","0.0","0.0","7515"
"Christian Ibarra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".266",".313",".579",".255","","53","0.0","0.0","","-0.1","0.0","0.0","sa738608"
"Dalton Kelly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".275",".300",".575",".255","","58","0.0","0.0","","-0.1","0.0","0.0","sa876363"
"Ethan Chapman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".276",".299",".576",".255","","-100","0.0","0.0","","-0.1","0.0","","sa658802"
"Jorge Mateo","","1","5","5","1","0","0","0","0","0","0","1","0","0","0","",".221",".263",".321",".585",".255","","54","0.0","0.0","","-0.3","0.1","0.0","sa657910"
"Raph Rhymes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".270",".306",".575",".255","","54","0.0","0.0","","-0.1","0.0","0.0","sa599518"
"Logan Moore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".261",".319",".580",".255","","54","0.0","0.0","","-0.1","0.0","0.0","sa598265"
"J.P. Arencibia","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".237",".358",".595",".255","","57","0.0","0.0","","-0.1","0.0","0.0","697"
"Alejandro Ortiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".273",".306",".578",".255","","-100","0.0","0.0","","-0.1","0.0","","sa508095"
"Andy Vasquez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".259",".329",".588",".255","","-100","0.0","0.0","","-0.1","0.0","","sa457107"
"Will Craig","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".274",".298",".573",".255","","57","0.0","0.0","","-0.1","0.0","0.0","sa738696"
"Zach Wright","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".271",".302",".572",".255","","59","0.0","0.0","","0.0","0.0","0.0","sa577954"
"Riley Unroe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".275",".297",".572",".255","","57","0.0","0.0","","-0.1","0.0","0.0","sa737614"
"Anderson De La Rosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".261",".322",".583",".255","","52","0.0","0.0","","-0.1","0.0","0.0","sa254509"
"Duanel Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".259",".324",".584",".255","","57","0.0","0.0","","-0.1","0.0","0.0","sa547235"
"Drew Vettleson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".255",".331",".586",".255","","50","0.0","0.0","","-0.1","0.0","0.0","sa548166"
"Hector Garanzuay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".276",".299",".575",".254","","-100","0.0","0.0","","-0.1","0.0","","sa502223"
"Jhohan Acevedo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".266",".314",".580",".254","","55","0.0","0.0","","-0.1","0.0","0.0","sa546473"
"Brodie Greene","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".280",".289",".570",".254","","54","0.0","0.0","","-0.1","0.0","0.0","sa503232"
"Derek Gibson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".268",".312",".580",".254","","55","0.0","0.0","","-0.1","0.0","0.0","sa830216"
"Yanio Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".254",".330",".584",".254","","50","0.0","0.0","","-0.1","0.0","0.0","sa975161"
"Anthony Phillips","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".279",".289",".569",".254","","59","0.0","0.0","","-0.1","0.0","0.0","sa392886"
"Danny Black","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".281",".286",".567",".254","","54","0.0","0.0","","-0.1","0.0","0.0","sa503432"
"Jerrud Sabourin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".273",".300",".573",".254","","53","0.0","0.0","","-0.1","0.0","0.0","sa546776"
"Isaac Rodriguez Salazar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".272",".306",".579",".254","","-100","0.0","0.0","","-0.1","0.0","","sa878470"
"Zane Evans","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".257",".328",".585",".254","","52","0.0","0.0","","-0.1","0.0","0.0","sa708968"
"Matt Snyder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".256",".325",".581",".254","","54","0.0","0.0","","-0.1","0.0","0.0","sa602687"
"Gustavo Pierre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".255",".333",".587",".254","","54","0.0","0.0","","-0.1","0.0","0.0","sa503319"
"Jeremy Rathjen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".260",".319",".579",".254","","58","0.0","0.0","","-0.1","0.0","0.0","sa602610"
"Hector Gomez","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".256",".332",".588",".254","","50","0.0","0.0","","-0.1","0.0","0.0","2264"
"Troy Stokes Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".267",".307",".574",".254","","50","0.0","0.0","","-0.1","0.0","0.0","sa828871"
"Daniel Carroll","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".266",".308",".574",".254","","53","0.0","0.0","","-0.1","0.0","0.0","sa390372"
"Bryan Anderson","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".267",".307",".574",".254","","58","0.0","0.0","","-0.1","0.0","0.0","9871"
"Joe Leonard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".266",".312",".578",".254","","53","0.0","0.0","","-0.1","0.0","0.0","sa548249"
"Jordan Betts","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".260",".320",".580",".254","","49","0.0","0.0","","-0.1","0.0","0.0","sa827329"
"Erisbel Arruebarrena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".263",".317",".581",".254","","-100","0.0","0.0","","-0.1","0.0","","15809"
"Levi Hyams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".270",".306",".577",".254","","53","0.0","0.0","","-0.1","0.0","0.0","sa578168"
"Yeral Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".256",".325",".581",".254","","53","0.0","0.0","","-0.1","0.0","0.0","sa633208"
"Rubi Silva","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".252",".338",".590",".254","","-100","0.0","0.0","","-0.1","0.0","","sa594139"
"Chris Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".281",".285",".566",".254","","56","0.0","0.0","","-0.1","0.0","0.0","sa621581"
"Luke Raley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".257",".324",".581",".254","","58","0.0","0.0","","-0.1","0.0","0.0","sa918048"
"Cesar Galvez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".277",".297",".574",".254","","36","0.0","0.0","","-0.1","0.0","0.0","sa547994"
"Roberto Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".263",".315",".578",".253","","53","0.0","0.0","","-0.1","0.0","0.0","sa548359"
"Juan Ciriaco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".268",".311",".579",".253","","57","0.0","0.0","","-0.1","0.0","0.0","sa226165"
"Pierce Rankin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".259",".318",".577",".253","","52","0.0","0.0","","-0.1","0.0","0.0","sa549523"
"Matt Lipka","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".264",".315",".578",".253","","49","0.0","0.0","","-0.1","0.0","0.0","sa548175"
"Carmen Angelini","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".260",".318",".579",".253","","53","0.0","0.0","","-0.1","0.0","0.0","sa390643"
"Jarek Cunningham","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".256",".322",".579",".253","","57","0.0","0.0","","-0.1","0.0","0.0","sa455364"
"Ronnie Freeman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".269",".310",".580",".253","","47","0.0","0.0","","-0.1","0.0","0.0","sa658013"
"Eric Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".274",".300",".574",".253","","53","0.0","0.0","","-0.1","0.0","0.0","sa621634"
"Hamlet Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".256",".325",".582",".253","","35","0.0","0.0","","-0.1","0.0","0.0","sa597218"
