"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Kyle Seager","Mariners","112","468","410","108","22","2","17","58","61","48","77","5","2","2","",".264",".346",".451",".797",".340","","117","-0.9","1.5","","8.3","3.2","2.8","9785"
"Andrew Benintendi","Red Sox","99","425","382","109","26","4","9","55","50","34","61","3","8","5","",".285",".346",".443",".790",".339","","108","-0.3","0.2","","3.6","-1.8","1.7","17901"
"Josh Bell","Pirates","92","382","335","93","17","2","11","44","44","39","60","2","4","3","",".277",".354",".432",".787",".339","","113","-0.4","-1.7","","5.6","-6.8","1.1","13145"
"Kendrys Morales","Blue Jays","104","439","394","103","22","1","19","55","64","36","88","4","0","0","",".262",".329",".466",".795",".339","","111","-3.1","-0.2","","2.4","-10.7","0.7","8610"
"Mark Trumbo","Orioles","102","426","386","99","17","1","22","55","65","34","104","2","1","1","",".257",".317",".480",".797",".338","","110","-1.0","-1.5","","3.9","-10.3","0.8","6876"
"Jonathan Lucroy","Rangers","92","380","339","95","19","2","10","46","46","35","56","2","2","1","",".279",".348",".437",".785",".338","","108","-1.3","3.2","","2.2","10.2","2.6","7870"
"Ben Zobrist","Cubs","98","417","356","93","21","2","10","50","46","55","58","2","3","2","",".263",".362",".414",".776",".338","","109","-0.5","0.1","","4.3","-1.4","1.7","7435"
"Domingo Santana","Brewers","98","404","348","87","17","1","15","48","50","48","114","4","6","4","",".249",".344",".436",".779",".338","","106","-0.1","-6.1","","2.9","-9.8","0.6","10348"
"Matt Kemp","Braves","112","476","437","119","26","1","20","56","68","33","114","2","3","2","",".272",".324",".470",".795",".337","","109","-1.1","-10.8","","4.1","-16.2","0.3","5631"
"Khris Davis","Athletics","111","469","420","102","20","1","25","59","71","40","128","5","3","2","",".244",".315",".479",".794",".337","","115","-0.9","-4.0","","7.5","-9.5","1.4","9112"
"Jung Ho Kang","Pirates","9","38","33","9","2","0","1","4","5","3","9","1","0","0","",".260",".337",".444",".781",".337","","112","0.0","-0.4","","0.5","-0.2","0.2","17182"
"Adam Eaton","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".287",".359",".414",".772",".337","","108","0.0","0.0","","0.0","0.0","0.0","11205"
"Dustin Pedroia","Red Sox","99","443","393","113","23","1","8","58","45","42","50","1","4","3","",".289",".357",".415",".772",".336","","106","-1.4","5.9","","1.6","7.4","2.5","8370"
"Maikel Franco","Phillies","110","472","430","116","22","1","20","56","66","33","75","4","1","1","",".269",".325",".469",".794",".336","","109","0.1","-2.2","","5.3","-0.6","2.0","12179"
"Josh Reddick","Astros","84","353","315","84","15","2","13","45","46","32","51","1","4","2","",".267",".335",".452",".786",".336","","113","0.9","1.6","","6.3","-1.3","1.7","3892"
"Gregory Bird","Yankees","91","368","320","77","16","1","16","45","49","40","90","4","2","1","",".242",".331",".448",".779",".336","","110","0.2","-2.4","","4.5","-8.5","0.9","14131"
"Brian Dozier","Twins","115","518","450","111","24","2","21","71","61","55","103","6","14","7","",".247",".334",".449",".783",".336","","108","1.2","-1.4","","6.3","0.4","2.5","9810"
"Jose Ramirez","Indians","113","466","420","120","26","2","10","56","56","39","52","2","14","8","",".285",".346",".430",".777",".335","","108","1.4","4.4","","6.0","6.1","2.9","13510"
"Dexter Fowler","Cardinals","105","474","398","101","18","5","10","62","41","64","106","5","9","4","",".253",".361",".399",".760",".335","","108","1.6","-7.3","","6.4","-5.9","1.6","4062"
"Trevor Story","Rockies","98","402","357","89","19","3","17","49","54","37","119","4","8","4","",".249",".324",".461",".784",".335","","90","0.7","-1.3","","-4.3","3.0","1.2","12564"
"Hyun Soo Kim","Orioles","76","313","277","77","12","1","9","38","35","29","46","3","3","2","",".278",".350",".421",".771",".335","","107","-0.1","-3.7","","2.6","-5.9","0.8","18718"
"Tom Murphy","Rockies","19","76","70","18","4","0","3","9","11","5","21","1","1","0","",".262",".311",".479",".790",".334","","90","0.0","-0.1","","-1.0","1.3","0.3","13499"
"Jackie Bradley Jr.","Red Sox","95","376","330","85","19","3","11","46","46","36","88","5","5","2","",".258",".338",".441",".778",".334","","104","0.2","4.5","","2.1","5.8","2.1","12984"
